id,wrkstat,prestg10,age,sex
3278,5.0,47.0,74.0,1.0
2659,1.0,38.0,45.0,1.0
2832,5.0,48.0,,2.0
3021,1.0,35.0,49.0,1.0
12,2.0,30.0,25.0,2.0
2520,1.0,17.0,31.0,1.0
1313,1.0,73.0,33.0,2.0
2812,5.0,64.0,78.0,2.0
1381,1.0,44.0,36.0,1.0
2285,1.0,32.0,59.0,1.0
1630,2.0,61.0,42.0,2.0
454,2.0,39.0,64.0,2.0
1653,1.0,58.0,50.0,1.0
1678,4.0,28.0,37.0,1.0
1551,1.0,64.0,81.0,2.0
3472,5.0,34.0,74.0,1.0
2743,4.0,40.0,57.0,1.0
1365,7.0,31.0,37.0,2.0
54,1.0,48.0,60.0,1.0
2317,5.0,45.0,68.0,1.0
2438,4.0,31.0,25.0,2.0
327,7.0,,,
2283,1.0,50.0,34.0,1.0
1908,6.0,,21.0,2.0
857,3.0,61.0,54.0,2.0
826,1.0,48.0,40.0,2.0
3420,2.0,28.0,,2.0
60,4.0,33.0,36.0,2.0
1656,1.0,60.0,47.0,2.0
25,2.0,50.0,28.0,1.0
1229,8.0,61.0,37.0,2.0
1334,1.0,39.0,38.0,1.0
221,5.0,47.0,75.0,2.0
1218,5.0,25.0,58.0,2.0
2009,5.0,24.0,77.0,2.0
2487,1.0,28.0,34.0,2.0
3099,3.0,24.0,48.0,2.0
1225,1.0,48.0,63.0,2.0
439,2.0,39.0,32.0,2.0
2348,1.0,43.0,27.0,2.0
156,1.0,47.0,24.0,2.0
2584,5.0,52.0,71.0,2.0
985,1.0,61.0,31.0,1.0
198,5.0,74.0,74.0,1.0
1873,1.0,35.0,44.0,2.0
2664,7.0,48.0,61.0,2.0
1494,5.0,43.0,63.0,1.0
714,1.0,31.0,20.0,2.0
90,1.0,60.0,29.0,1.0
281,5.0,72.0,68.0,2.0
2486,5.0,74.0,69.0,2.0
3129,2.0,46.0,45.0,2.0
3234,1.0,48.0,36.0,2.0
2512,5.0,70.0,64.0,2.0
1948,1.0,36.0,24.0,2.0
2292,1.0,35.0,59.0,1.0
1528,2.0,58.0,27.0,1.0
1681,1.0,45.0,36.0,2.0
2413,3.0,47.0,52.0,2.0
1141,8.0,34.0,61.0,1.0
710,7.0,,43.0,2.0
1462,2.0,36.0,48.0,2.0
2871,7.0,33.0,31.0,2.0
1652,1.0,31.0,32.0,1.0
638,8.0,50.0,52.0,2.0
3093,1.0,41.0,62.0,1.0
1736,1.0,61.0,24.0,2.0
2909,1.0,50.0,40.0,1.0
2655,5.0,35.0,67.0,1.0
3470,1.0,35.0,33.0,2.0
1108,2.0,,32.0,2.0
1829,5.0,32.0,59.0,2.0
2729,8.0,46.0,72.0,1.0
3454,1.0,35.0,49.0,1.0
2308,3.0,38.0,44.0,2.0
2990,6.0,66.0,26.0,2.0
2607,1.0,50.0,40.0,1.0
387,5.0,31.0,71.0,1.0
2651,1.0,61.0,52.0,2.0
3252,5.0,49.0,66.0,1.0
2189,5.0,58.0,60.0,1.0
1304,1.0,38.0,57.0,2.0
2522,2.0,61.0,77.0,2.0
3024,5.0,47.0,85.0,2.0
2394,1.0,72.0,41.0,1.0
3353,5.0,51.0,,2.0
2044,8.0,31.0,56.0,2.0
2477,5.0,23.0,77.0,2.0
3175,1.0,64.0,65.0,2.0
339,7.0,24.0,37.0,2.0
912,1.0,41.0,42.0,1.0
696,5.0,50.0,,1.0
413,1.0,50.0,29.0,2.0
1458,4.0,31.0,43.0,2.0
2152,2.0,28.0,81.0,1.0
2453,1.0,32.0,36.0,1.0
2496,1.0,17.0,60.0,2.0
1979,4.0,35.0,72.0,2.0
728,5.0,35.0,73.0,1.0
3383,5.0,31.0,69.0,1.0
3515,2.0,28.0,67.0,2.0
76,1.0,48.0,55.0,1.0
293,5.0,55.0,49.0,1.0
2266,5.0,47.0,65.0,2.0
1376,7.0,35.0,28.0,2.0
2318,5.0,35.0,77.0,1.0
867,5.0,39.0,65.0,1.0
3,1.0,48.0,57.0,2.0
1914,1.0,60.0,53.0,1.0
3092,1.0,38.0,33.0,2.0
2333,7.0,55.0,67.0,2.0
608,1.0,63.0,45.0,1.0
3490,2.0,64.0,30.0,2.0
2615,5.0,45.0,72.0,1.0
2335,5.0,60.0,65.0,1.0
329,1.0,40.0,54.0,2.0
2810,1.0,31.0,28.0,1.0
1773,4.0,35.0,45.0,1.0
2629,5.0,36.0,76.0,1.0
794,5.0,61.0,69.0,2.0
3508,5.0,35.0,80.0,1.0
418,1.0,22.0,23.0,1.0
2023,5.0,64.0,72.0,2.0
1058,1.0,54.0,47.0,2.0
396,8.0,,22.0,1.0
466,1.0,32.0,44.0,1.0
2128,1.0,53.0,57.0,1.0
2297,5.0,64.0,68.0,2.0
111,1.0,41.0,61.0,1.0
2342,1.0,48.0,37.0,2.0
2625,5.0,47.0,72.0,2.0
3341,1.0,39.0,56.0,1.0
2558,5.0,33.0,81.0,2.0
1649,1.0,60.0,36.0,1.0
2515,8.0,,55.0,2.0
3432,5.0,60.0,60.0,2.0
2926,1.0,47.0,56.0,2.0
